P	P (slang)_femme_(lesbian_stereotype) 
Q	Q cute_(loanword) (of_food)_having_a_pleasant_chewiness_(like_mochi,_tapioca_pearls,_taro_balls_etc_–_foods_with_a_springy_or_gel-like_mouthfeel) 
T	T (slang)_butch_(lesbian_stereotype) 
□	□ uptight obstinate to_awkwardly_force_oneself_to_do_sth (Taiwanese,_POJ_pr._[gēng],_often_written_as_ㄍㄧㄥ,_no_generally_accepted_hanzi_form) 
○	○ character_used_in_Taiwan_as_a_substitute_for_a_real_name_(like_"X"_in_English) variant_of_〇[ling2] 
⺮	⺮ "bamboo"_radical_in_Chinese_characters_(Kangxi_radical_118) 
々	々 iteration_mark_(used_to_represent_a_duplicated_character) 
〇	〇 zero 
〡	〡 numeral_1_in_Suzhou_numeral_system_蘇州碼子|苏州码子[Su1_zhou1_ma3_zi5] 
〢	〢 numeral_2_in_Suzhou_numeral_system_蘇州碼子|苏州码子[Su1_zhou1_ma3_zi5] 
〣	〣 numeral_3_in_Suzhou_numeral_system_蘇州碼子|苏州码子[Su1_zhou1_ma3_zi5] 
〤	〤 numeral_4_in_Suzhou_numeral_system_蘇州碼子|苏州码子[Su1_zhou1_ma3_zi5] 
〥	〥 numeral_5_in_Suzhou_numeral_system_蘇州碼子|苏州码子[Su1_zhou1_ma3_zi5] 
〦	〦 numeral_6_in_Suzhou_numeral_system_蘇州碼子|苏州码子[Su1_zhou1_ma3_zi5] 
〧	〧 numeral_7_in_Suzhou_numeral_system_蘇州碼子|苏州码子[Su1_zhou1_ma3_zi5] 
〨	〨 numeral_8_in_Suzhou_numeral_system_蘇州碼子|苏州码子[Su1_zhou1_ma3_zi5] 
〩	〩 numeral_9_in_Suzhou_numeral_system_蘇州碼子|苏州码子[Su1_zhou1_ma3_zi5] 
〻	〻 iteration_mark_(used_to_represent_a_duplicated_character) 
㐄	㐄 component_in_Chinese_characters,_mirror_image_of_夂[zhi3] 
㐅	㐅 archaic_variant_of_五[wu3] 
㐆	㐆 component_in_Chinese_character_殷[yin1] 
㐌	㐌 variant_of_它[ta1] 
㐖	㐖 see_㐖毒[Ye4_du2] 
㐜	㐜 variant_of_仇[chou2] 
㐡	㐡 archaic_variant_of_懦[nuo4] 
䟖	䟖 erroneous_variant_of_趾[zhi3] 
䠀	䠀 to_squat to_sit 
䠀	䠀 old_variant_of_趟[tang1] 
䠞	䠞 variant_of_蹙[cu4] 
䠶	䠶 old_variant_of_射[she4] 
䤈	䤈 old_variant_of_醯[xi1] 
䥑	䥑 meitnerium_(chemistry) 
䥥	䥥 old_variant_of_鐮|镰[lian2] 
䥯	䥯 plow 
䦉	䦉 variant_of_肆[si4] 
䦕	䦕 variant_of_閛[peng1] 
䩦	䩦 variant_of_鞗[tiao2] 
䫏	䫏 mask_of_a_god_used_in_ceremonies_to_exorcise_demons_and_drive_away_pestilence (archaic)_ugly 
䬃	䬃 variant_of_颯|飒[sa4] 
䬠	䬠 old_variant_of_霏[fei1] 
